series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,TV,12,0,9,0000-00-00,0000-00-00,,8,,0.00,Watching,,0,,LOW,,0,0,1,default,0
41457,86,TV,11,0,10,0000-00-00,2021-06-22,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25397,Absolute Duo,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11759,Accel World,TV,24,0,24,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
13939,Accel World EX,OVA,2,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31763,Accel World: Infinite∞Burst,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32323,Aishen Qiaokeli-ing...,ONA,15,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30123,Akagami no Shirayuki-hime,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31173,Akagami no Shirayuki-hime 2nd Season,TV,12,0,12,0000-00-00,2016-06-01,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22199,Akame ga Kill!,TV,24,0,24,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
